from,to
2,1
2,2
2,3
2,4
4,2
2,6
6,2
2,13
2,14
2,16
2,17
2,20
2,21
2,30
2,31
31,2
2,32
2,33
2,35
35,2
38,2
2,43
43,2
2,44
2,53
2,54
2,55
2,57
2,59
2,60
2,61
2,63
2,64
2,65
2,66
2,68
2,70
70,2
2,71
2,72
2,73
2,77
78,2
79,2
2,81
2,82
82,2
2,86
2,89
2,91
2,92
2,100
2,104
2,105
2,109
109,2
2,114
2,115
2,121
2,123
2,125
2,126
126,2
1,3
2,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
19,3
21,3
22,3
23,3
25,3
26,3
28,3
29,3
30,3
31,3
32,3
34,3
35,3
38,3
39,3
40,3
41,3
42,3
3,43
43,3
44,3
45,3
46,3
47,3
50,3
51,3
52,3
56,3
3,57
3,59
59,3
3,60
60,3
62,3
63,3
64,3
65,3
67,3
68,3
70,3
73,3
75,3
77,3
78,3
79,3
80,3
3,81
3,82
83,3
85,3
87,3
88,3
90,3
91,3
92,3
97,3
98,3
3,100
102,3
103,3
106,3
107,3
3,108
3,109
109,3
110,3
114,3
3,115
115,3
117,3
118,3
119,3
120,3
121,3
123,3
3,124
124,3
3,125
3,126
126,3
127,3
128,3
129,3
130,3
4,4
4,4
4,35
35,4
4,54
4,59
4,60
4,82
4,109
4,115
4,124
127,4
129,4
5,1
5,4
4,5
5,6
6,5
5,7
7,5
5,9
9,5
5,11
11,5
12,5
5,16
16,5
19,5
5,20
20,5
5,21
21,5
5,23
23,5
5,24
24,5
5,25
5,26
26,5
5,28
28,5
29,5
5,30
30,5
5,31
31,5
5,35
35,5
5,38
5,41
41,5
42,5
5,45
45,5
5,46
46,5
5,47
5,48
5,50
50,5
5,51
51,5
53,5
5,57
57,5
58,5
5,59
59,5
5,60
60,5
61,5
5,62
62,5
5,63
63,5
5,64
64,5
5,66
66,5
5,67
67,5
5,68
68,5
5,71
71,5
5,72
72,5
5,73
73,5
75,5
5,76
76,5
5,77
77,5
5,78
78,5
5,79
79,5
5,80
80,5
5,81
5,82
5,83
83,5
5,85
85,5
87,5
5,88
88,5
90,5
5,91
91,5
92,5
97,5
100,5
5,102
102,5
5,103
103,5
105,5
107,5
5,109
109,5
110,5
114,5
115,5
5,116
116,5
5,117
117,5
5,118
118,5
5,119
119,5
123,5
124,5
5,125
125,5
5,126
126,5
127,5
5,128
128,5
129,5
5,130
130,5
6,57
59,6
70,6
82,6
6,97
101,6
104,6
109,6
6,122
126,6
7,4
7,13
7,14
7,16
7,19
7,23
7,29
7,31
7,35
7,57
7,58
7,67
7,71
7,82
7,97
7,102
7,103
103,7
7,107
7,125
2,8
8,4
8,7
8,10
8,15
8,16
8,17
8,19
8,21
8,23
8,29
8,30
8,35
8,43
44,8
8,47
8,57
8,58
8,59
8,60
8,67
8,68
8,72
8,73
8,75
8,78
78,8
8,80
8,82
8,97
8,102
8,103
8,106
8,112
8,115
8,117
8,121
8,123
8,125
8,128
9,2
9,3
9,4
9,5
9,6
9,7
9,10
9,11
9,14
9,15
9,16
9,17
9,21
9,23
9,29
9,30
9,33
9,35
9,43
9,44
44,9
9,57
9,58
9,59
9,60
9,62
9,67
9,68
9,71
9,72
9,73
9,75
9,79
9,80
9,82
9,97
9,100
9,102
9,103
9,106
9,112
9,114
9,115
9,123
9,125
9,126
9,128
9,129
10,1
1,10
10,16
10,20
10,31
10,43
10,57
10,59
10,60
10,68
10,72
10,102
10,103
10,107
10,110
10,115
10,125
11,1
2,11
3,11
11,4
5,11
6,11
7,11
8,11
9,11
10,11
11,11
12,11
11,14
11,16
11,19
19,11
11,20
11,21
23,11
26,11
29,11
11,30
31,11
11,33
34,11
11,35
38,11
11,41
11,42
11,43
43,11
44,11
47,11
11,57
11,58
11,59
11,60
70,11
11,72
11,73
73,11
77,11
78,11
79,11
11,80
11,88
88,11
11,97
102,11
103,11
106,11
112,11
11,115
123,11
11,125
127,11
129,11
1,12
4,12
12,16
19,12
12,20
23,12
26,12
12,30
12,33
12,34
12,35
43,12
12,47
12,50
53,12
57,12
58,12
59,12
60,12
12,64
12,66
12,68
12,72
77,12
78,12
79,12
12,80
12,82
12,92
92,12
97,12
12,104
104,12
12,109
109,12
12,115
12,118
12,123
12,124
12,125
12,126
129,12
13,16
13,21
13,30
13,43
45,13
13,53
13,57
13,58
13,59
13,60
13,63
65,13
13,66
13,68
68,13
13,72
13,82
83,13
88,13
13,92
97,13
13,104
13,115
13,123
13,124
13,125
13,126
14,16
23,14
14,30
14,33
14,43
14,53
14,57
14,58
14,59
14,60
14,63
14,66
14,68
14,72
14,82
14,92
14,105
14,109
14,115
14,123
14,124
14,125
14,126
15,16
15,33
15,43
15,53
15,57
15,58
15,59
15,60
15,63
15,66
15,68
15,72
78,15
79,15
15,82
15,92
15,105
15,109
15,115
15,123
15,124
15,125
15,126
3,16
16,16
16,20
16,30
16,33
35,16
16,43
16,53
16,57
16,58
16,59
16,60
16,63
63,16
16,66
16,68
16,72
77,16
16,82
88,16
91,16
16,92
97,16
16,105
16,109
16,115
16,123
123,16
16,124
16,125
16,126
129,16
17,2
3,17
17,4
17,19
17,23
17,29
17,30
17,38
17,43
44,17
17,57
17,58
17,62
70,17
17,72
17,78
78,17
17,79
79,17
17,83
17,88
17,97
17,102
17,103
17,110
112,17
115,17
17,117
17,123
123,17
17,127
17,129
18,2
18,4
18,19
18,29
18,30
18,38
18,43
18,44
18,47
18,72
18,78
78,18
18,79
79,18
18,83
18,88
18,97
18,102
18,103
18,117
18,127
18,129
19,2
19,4
19,13
19,14
19,16
19,19
19,21
19,23
19,29
19,30
19,37
19,38
19,43
19,44
19,47
19,53
19,57
19,58
19,62
19,68
19,71
19,72
19,78
19,79
19,83
19,88
19,97
19,102
19,103
19,115
19,117
117,19
19,125
126,19
19,127
19,129
20,1
1,20
20,2
20,3
20,4
20,8
20,13
20,16
20,17
20,20
20,21
21,20
22,20
23,20
20,29
20,31
20,32
20,33
20,34
20,36
20,43
48,20
52,20
20,53
20,57
20,58
20,59
20,60
20,61
20,62
20,63
20,64
64,20
20,66
66,20
20,67
67,20
20,68
68,20
20,71
71,20
20,72
20,73
20,75
20,76
20,77
20,78
20,80
20,81
20,82
20,86
20,89
20,90
20,97
97,20
20,99
20,100
100,20
20,104
20,105
20,109
109,20
20,110
20,115
115,20
20,117
20,123
123,20
20,124
20,125
20,126
20,127
20,129
2,21
21,3
21,4
4,21
6,21
7,21
9,21
10,21
11,21
12,21
21,15
21,23
21,97
21,102
21,103
21,104
104,21
109,21
21,122
21,123
21,125
22,15
1,23
23,4
23,21
30,23
31,23
35,23
38,23
43,23
50,23
23,57
23,58
23,59
23,67
23,100
23,115
23,122
23,123
23,125
24,23
24,97
24,100
109,24
24,123
25,4
4,25
25,13
25,14
25,60
25,71
25,78
25,97
26,1
25,26
26,53
26,61
26,66
26,68
26,71
26,85
26,98
26,115
26,125
27,59
27,61
27,66
98,27
27,115
28,16
28,21
21,28
28,53
28,59
28,61
28,66
28,68
28,71
28,73
28,105
28,109
28,115
28,123
28,125
29,1
1,29
25,29
29,53
29,61
29,68
29,71
29,115
29,123
30,1
1,30
30,22
22,30
30,25
30,26
26,30
30,59
30,61
30,68
30,71
30,90
90,30
30,98
98,30
30,109
30,115
30,123
31,1
1,31
31,2
2,31
31,4
4,31
31,5
31,7
31,8
31,16
31,21
31,23
31,29
31,30
31,31
31,31
31,35
35,31
31,38
31,43
31,53
31,57
31,59
31,60
31,62
31,66
31,68
31,71
31,72
31,73
31,77
31,87
31,103
31,106
31,109
31,110
31,115
31,123
123,31
31,124
31,125
31,126
31,128
31,129
32,1
1,32
2,32
32,3
3,32
32,4
4,32
5,32
32,6
6,32
32,7
7,32
8,32
9,32
10,32
11,32
32,12
12,32
32,13
13,32
32,14
14,32
15,32
32,16
16,32
32,17
17,32
18,32
32,19
19,32
32,20
20,32
32,21
21,32
22,32
32,23
23,32
24,32
25,32
26,32
27,32
28,32
29,32
30,32
32,31
31,32
32,32
32,32
32,33
34,32
32,35
32,36
36,32
37,32
38,32
39,32
40,32
41,32
42,32
32,43
43,32
44,32
45,32
46,32
47,32
32,48
48,32
49,32
50,32
32,51
51,32
52,32
32,53
53,32
32,54
54,32
32,55
55,32
56,32
32,57
57,32
32,58
58,32
32,59
59,32
32,60
32,61
32,62
62,32
32,63
63,32
32,64
64,32
32,65
66,32
32,67
67,32
32,68
68,32
69,32
70,32
71,32
32,72
72,32
32,73
73,32
74,32
32,75
75,32
32,76
76,32
32,77
77,32
78,32
79,32
80,32
81,32
32,82
82,32
83,32
84,32
85,32
86,32
