from,to
81,30
30,81
81,50
50,81
16,72
72,16
16,55
55,16
16,16
16,16
16,33
33,16
16,53
53,16
16,66
66,16
16,22
22,16
40,87
87,40
40,30
30,40
18,50
50,18
18,8
8,18
18,59
59,18
18,44
44,18
18,81
81,18
18,58
58,18
18,54
54,18
18,83
83,18
18,26
26,18
18,30
30,18
18,61
61,18
18,65
65,18
18,80
80,18
18,89
89,18
18,82
82,18
18,55
55,18
18,16
16,18
18,62
62,18
18,4
4,18
18,85
85,18
18,34
34,18
18,68
68,18
18,63
63,18
18,45
45,18
18,24
24,18
18,11
11,18
18,86
86,18
18,14
14,18
18,17
17,18
18,56
56,18
18,13
13,18
18,77
77,18
18,78
78,18
18,10
10,18
18,33
33,18
18,38
38,18
18,20
20,18
18,36
36,18
18,22
22,18
18,46
46,18
47,10
10,47
86,86
86,86
14,31
31,14
83,18
18,83
87,72
72,87
69,67
67,69
69,32
32,69
69,33
33,69
74,63
63,74
59,4
4,59
59,41
41,59
31,86
86,31
31,14
14,31
31,41
41,31
41,86
86,41
41,14
14,41
28,20
20,28
48,87
87,48
2,87
87,2
60,69
69,60
19,18
18,19
29,18
18,29
29,57
57,29
29,54
54,29
29,52
52,29
29,29
29,29
18,71
71,18
87,24
24,87
87,13
13,87
30,18
18,30
30,87
87,30
30,73
73,30
30,81
81,30
30,1
1,30
30,63
63,30
24,87
87,24
24,26
26,24
24,71
71,24
24,24
24,24
24,17
17,24
24,7
7,24
24,6
6,24
35,87
87,35
35,41
41,35
6,43
43,6
30,50
50,30
30,8
8,30
30,79
79,30
30,81
81,30
30,62
62,30
30,40
40,30
30,51
51,30
81,72
72,81
35,18
18,35
35,2
2,35
35,71
71,35
35,30
30,35
25,39
39,25
23,39
39,23
53,53
53,53
53,41
41,53
8,3
3,8
8,84
84,8
78,18
18,78
78,87
87,78
78,71
71,78
78,48
48,78
78,33
33,78
78,66
66,78
78,22
22,78
53,85
85,53
53,34
34,53
53,63
63,53
81,30
30,81
81,72
72,81
81,22
22,81
53,53
53,53
53,18
18,53
53,68
68,53
53,15
15,53
53,33
33,53
88,63
63,88
37,75
75,37
10,72
72,10
10,55
55,10
10,47
47,10
10,66
66,10
9,69
69,9
9,72
72,9
9,78
78,9
9,10
10,9
18,20
20,18
77,49
49,77
76,41
41,76
42,39
39,42
27,87
87,27
30,49
49,30
30,82
82,30
30,62
62,30
70,12
12,70
70,63
63,70
70,11
11,70
12,73
73,12
12,64
64,12
12,53
53,12
12,39
39,12
63,12
12,63
63,88
88,63
63,53
53,63
90,73
73,90
90,33
33,90
27,18
18,27
27,87
87,27
27,5
5,27
27,1
1,27
34,45
45,34
34,33
33,34
34,53
53,34
34,36
36,34
21,67
67,21
