from,to
74, 27
74, 69
19, 16
19, 72
19, 19
19, 31
19, 1
19, 28
19, 43
40, 8
40, 27
59, 69
59, 20
59, 61
59, 41
59, 74
59, 11
59, 49
59, 48
59, 89
59, 27
59, 35
59, 47
59, 65
59, 67
59, 56
59, 72
59, 19
59, 77
59, 71
59, 7
59, 39
59, 55
59, 66
59, 14
59, 44
59, 88
59, 50
59, 80
59, 15
59, 62
59, 83
59, 42
59, 79
59, 36
59, 31
59, 76
59, 5
59, 86
59, 43
59, 24
82, 36
50, 50
80, 17
48, 59
8, 16
73, 46
73, 75
73, 31
70, 66
61, 71
61, 84
17, 50
17, 80
17, 84
84, 50
84, 80
2, 5
3, 8
60, 8
33, 73
64, 59
10, 59
10, 53
10, 49
10, 37
10, 10
59, 90
8, 44
8, 83
27, 59
27, 8
27, 54
27, 74
27, 81
27, 66
44, 8
44, 89
44, 90
44, 44
44, 15
44, 45
44, 30
68, 8
68, 84
30, 18
27, 69
27, 20
27, 29
27, 74
27, 77
27, 40
27, 23
74, 16
68, 59
68, 60
68, 90
68, 27
6, 51
78, 51
1, 1
1, 84
20, 87
20, 57
79, 59
79, 8
79, 90
79, 3
79, 31
79, 28
79, 43
1, 7
1, 39
1, 66
74, 27
74, 16
74, 43
1, 1
1, 59
1, 55
1, 63
1, 31
4, 66
34, 9
36, 16
36, 72
36, 82
36, 28
85, 73
85, 16
85, 79
85, 36
59, 5
42, 32
21, 84
58, 51
22, 8
27, 32
27, 56
27, 77
12, 26
12, 66
12, 88
26, 54
26, 13
26, 1
26, 51
66, 26
66, 4
66, 1
52, 54
52, 31
22, 59
22, 8
22, 25
22, 81
39, 14
39, 31
39, 1
38, 46,
